patient_id,address,allergies,blood_type,closest_hospital,community,country,date_of_birth,disabilities,first_name,gender,has_children,has_dependent,height_cm,language,marital_status,medical_problems,national_id_number,num_of_children,num_of_dependents,post_code,preferred_language,purpose_of_visit,state,sur_name,title,user_id,weight,hospital_id
25,"P.O. Box 913, 6976 Magnis Rd.",NA,AB+,Reddington Hospital,urban,nigeria,1/21/1995,alzheimer's,GARRETH,Male,No,Yes,232,english,Divorced,drug addiction,3401548469,2,4,47376,english,medical examination,Lagos,SHATIK,Mr.,25,73,1
26,6676 Tristique Street,dust,B+,National Orthopaedic Hospital,suburban,nigeria,7/16/2003,alzheimer's,ADRIATIK,Female,No,Yes,225,english,Married,none,3812968249,1,4,20467,english,consultation,Lagos,NELL,Mrs.,26,94,1
27,896-4316 Tempus Rd.,NA,AB-,Adefemi Hospital,rural,nigeria,2/16/1998,none,ANNAMARIE,Female,Yes,No,138,english,Married,none,7545912248,2,1,43467,english,consultation,Lagos,HERA,Mrs.,27,94,1
28,967-2326 Orci Rd.,flowers,O+,National Orthopaedic Hospital,urban,nigeria,4/22/1993,amnesia,GARRICK,Male,No,Yes,235,english,Married,none,5118089877,3,2,23077,english,medical examination,Lagos,SHATISHA,Mr.,28,89,1
29,351-6015 Metus Rd.,flowers,B+,St. Nicholas Hospital,rural,nigeria,11/5/2010,atherosclerosis,ADRIELLE,Male,No,No,250,english,Divorced,none,3252959957,1,1,36681,english,reserved consultation,Lagos,NELLI,Mr.,29,86,1
30,"Ap #635-6634 Pede, Av.",dust,O-,First Consultant Hospital,suburban,nigeria,12/3/2010,amnesia,ANNASTASIA,Male,Yes,Yes,134,english,Married,NA,3656225938,3,4,51167,english,medical examination,Lagos,HERARD,Mr.,30,73,1
31,1677 Enim Rd.,flowers,B+,St. Nicholas Hospital,suburban,nigeria,5/12/2005,ruptured discs,GARRY,Male,Yes,No,232,english,Single,overwight,3836755876,1,1,31792,english,medical examination,Lagos,SHAUGHN,Mr.,31,73,1
32,"P.O. Box 935, 7661 Morbi Street",NA,A+,Blue Cross Hospital,urban,nigeria,6/30/1985,atherosclerosis,ADRIENE,Female,No,No,227,english,Single,drug addiction,5047325658,1,1,9848,english,consultation,Lagos,NELLY,Ms.,32,79,1
33,569-7960 Integer Ave,dust,AB+,Krown Hospital,rural,nigeria,2/25/1993,alzheimer's,ANNE,Male,No,Yes,243,english,Single,underweight,6925461788,1,1,40557,english,consultation,Lagos,HERBIE,Mr.,33,64,1
34,615-5113 Cum St.,NA,O+,Ifako-Ijaiye General Hospital,urban,nigeria,12/20/1985,atherosclerosis,GARVENS,Male,No,No,251,english,Married,not immunized,4290227534,3,1,30280,english,medical examination,Lagos,SHAUNA,Mr.,34,90,1
35,618-3434 Sagittis Av.,nuts,O-,Blue Cross Hospital,rural,nigeria,12/2/2009,NA,ADRION,Female,No,Yes,242,english,Single,overwight,3719533442,1,0,56495,english,consultation,Lagos,NELSI,Ms.,35,93,1
36,405-9892 Ultrices Rd.,pollen,O-,First Consultant Hospital,urban,nigeria,11/7/2002,NA,ANNEKE,Male,Yes,No,249,english,Married,none,4432434934,4,3,51605,english,consultation,Lagos,HERI,Mr.,36,86,1
37,Ap #561-9293 Sociis St.,dust,B+,Isolo General Hospital,urban,nigeria,5/27/2007,NA,GARY,Female,No,Yes,230,english,Divorced,mental issue,5772623229,4,2,40301,english,consultation,Lagos,SHAUNDA,Ms.,37,60,1
38,"Ap #381-3175 Sed, Street",NA,A-,First Consultant Hospital,urban,nigeria,5/2/2000,NA,ADUNNI,Male,Yes,No,210,english,Married,physical injury,3598610687,3,2,56784,english,medical examination,Lagos,NELSY,Mr.,38,92,1
39,"Ap #230-5566 Amet, St.",pollen,AB+,Blue Cross Hospital,urban,nigeria,1/14/1987,delirium,ANNELI,Female,Yes,No,225,english,Single,not immunized,5598321176,0,1,43155,english,reserved consultation,Lagos,HERMAN,Ms.,39,76,1
40,"P.O. Box 967, 4885 Nunc Avenue",dust,AB+,Adefemi Hospital,suburban,nigeria,6/6/1993,NA,GASPARE,Male,No,No,194,english,Married,overwight,5852279449,3,2,8083,english,reserved consultation,Lagos,SHAUNDRA,Mr.,40,81,1
41,Ap #266-429 Velit St.,flowers,B-,Lagoon Hospitals,suburban,nigeria,12/21/1992,alzheimer's,ADY,Male,No,Yes,190,english,Married,none,3413588317,4,1,7882,english,consultation,Lagos,NEMA,Mr.,41,63,1
42,315-4283 Nam Street,pollen,O+,Duchess International Hospital,rural,nigeria,1/4/2000,none,ANNELISE,Female,No,No,203,english,Single,not immunized,3714590350,1,0,43877,english,consultation,Lagos,HERMES,Ms.,42,76,1
43,921-1491 Nonummy Ave,nuts,AB+,Duchess International Hospital,rural,nigeria,6/25/2008,alzheimer's,GATA,Male,Yes,Yes,155,english,Divorced,mental issue,6010071186,4,1,48540,english,medical examination,Lagos,SHAUNELL,Mr.,43,90,1
44,Ap #299-4324 Mauris Avenue,dust,AB+,Badagry General Hospital,urban,nigeria,10/25/1998,ruptured discs,AEISHA,Male,No,Yes,213,english,Single,not immunized,4041765374,1,1,17349,english,reserved consultation,Lagos,NENA,Mr.,44,60,1
45,"P.O. Box 913, 6976 Magnis Rd.",NA,O-,Ikorodu General Hospital,urban,nigeria,5/9/1997,scoliosis,ANNEMARIE,Female,Yes,No,251,english,Divorced,physical injury,3356469430,2,1,37949,english,medical examination,Lagos,HERMINIO,Ms.,45,70,1
46,6676 Tristique Street,dust,AB+,Isolo General Hospital,suburban,nigeria,10/5/1989,arthritis,GATO,Female,Yes,Yes,234,english,Divorced,not immunized,7234435445,4,2,11145,english,medical examination,Lagos,SHAUNETTE,Ms.,46,101,1
47,896-4316 Tempus Rd.,NA,B-,Mercy Stripes Specialist Hospital,rural,nigeria,10/17/1994,arthritis,AESHA,Male,No,Yes,248,english,Married,NA,7534447774,4,3,32571,english,reserved consultation,Lagos,NENETTE,Mr.,47,101,1
48,967-2326 Orci Rd.,pollen,A+,National Orthopaedic Hospital,suburban,nigeria,1/1/1994,fibromas,ANNEMIEKE,Female,No,Yes,165,english,Single,not immunized,3344122218,0,1,53038,english,consultation,Lagos,HERNANDEZ,Ms.,48,86,1
49,351-6015 Metus Rd.,flowers,B-,Ifako-Ijaiye General Hospital,rural,nigeria,3/20/2011,none,GAURAV,Male,No,Yes,243,english,Single,NA,7588826194,0,0,27163,english,reserved consultation,Lagos,SHAUNTA,Mr.,49,65,1
50,"Ap #635-6634 Pede, Av.",nuts,O-,Isolo General Hospital,urban,nigeria,1/16/2007,atherosclerosis,AFEISHA,Male,No,No,138,english,Married,mental issue,5228738323,4,2,44962,english,consultation,Lagos,NEO,Mr.,50,95,1
51,1677 Enim Rd.,nuts,O+,St. Nicholas Hospital,suburban,nigeria,12/29/2011,alzheimer's,ANNE-SOPHIE,Male,Yes,Yes,200,english,Single,not immunized,5028247305,1,1,23094,english,consultation,Lagos,HERO,Mr.,51,71,1
52,"P.O. Box 935, 7661 Morbi Street",flowers,AB+,First Consultant Hospital,rural,nigeria,9/15/2001,NA,GAUTHAM,Male,No,Yes,142,english,Married,none,7284010292,1,4,16134,english,medical examination,Lagos,SHAUNTE,Mr.,52,93,1
53,569-7960 Integer Ave,pollen,A+,Mercy Stripes Specialist Hospital,urban,nigeria,9/17/2002,none,AFIA,Female,No,No,183,english,Single,overwight,7727603551,1,0,48685,english,medical examination,Lagos,NEPHI,Ms.,53,70,1
54,615-5113 Cum St.,dust,O-,Mercy Stripes Specialist Hospital,urban,nigeria,2/20/1997,cyclothimic disorder,ANNETTE,Female,Yes,No,131,english,Married,NA,7012970743,1,4,14016,english,medical examination,Lagos,HERRY,Mrs.,54,86,1
55,618-3434 Sagittis Av.,NA,O-,Isolo General Hospital,urban,nigeria,11/7/2003,delirium,GAVO,Male,No,Yes,205,english,Single,physical injury,4003183753,0,0,30675,english,medical examination,Lagos,SHAUNTELL,Mr.,55,87,1
56,405-9892 Ultrices Rd.,dust,AB-,First Consultant Hospital,rural,nigeria,4/6/2012,NA,AFONSO,Male,No,No,159,english,Married,physical injury,4612236952,1,2,38980,english,consultation,Lagos,NEREYDA,Mr.,56,72,1
57,Ap #561-9293 Sociis St.,NA,A-,Ave Maria Hospital,urban,nigeria,12/21/1998,ruptured discs,ANNICA,Female,No,No,154,english,Married,mental issue,6455668808,1,2,53933,english,medical examination,Lagos,HERSHEL,Mrs.,57,63,1
58,"Ap #381-3175 Sed, Street",nuts,AB+,Creek Hospital,urban,nigeria,7/10/1988,none,GRAY,Female,Yes,No,147,english,Married,overwight,5747163994,2,2,44542,english,reserved consultation,Lagos,SHAVA,Mrs.,58,102,1
59,"Ap #230-5566 Amet, St.",pollen,B-,Ikorodu General Hospital,suburban,nigeria,12/14/1984,scoliosis,AFRIKAN,Female,Yes,No,150,english,Single,underweight,5882878255,0,0,29847,english,consultation,Lagos,NERISSA,Ms.,59,65,1
60,"P.O. Box 967, 4885 Nunc Avenue",dust,A-,Krown Hospital,urban,nigeria,10/1/2005,arthritis,ANNIKA,Female,No,Yes,260,english,Single,overwight,3596256485,0,1,29457,english,medical examination,Lagos,HERSON,Ms.,60,80,1
61,Ap #208-168 Lorem. Rd.,NA,O-,Ave Maria Hospital,rural,nigeria,4/3/2011,scoliosis,GAYATRI,Female,No,Yes,218,english,Divorced,overwight,6389920711,2,4,44044,english,consultation,Lagos,SHAVAUGHN,Ms.,61,102,1
62,"P.O. Box 181, 833 Pede. Ave",nuts,B+,St. Nicholas Hospital,urban,nigeria,11/20/1985,arthritis,AFRON,Male,Yes,No,176,english,Divorced,none,4648562333,4,2,43084,english,consultation,Lagos,NERO,Mr.,62,85,1
63,Ap #131-8580 Morbi Avenue,NA,O-,Lagoon Hospitals,suburban,nigeria,3/23/2006,alzheimer's,ANNISIA,Male,No,No,143,english,Single,none,6979901003,1,0,14014,english,consultation,Lagos,HERU,Mr.,63,97,1
64,"P.O. Box 564, 3418 Hendrerit Road",pollen,B-,Ave Maria Hospital,rural,nigeria,10/11/1996,NA,GAYLORD,Male,Yes,No,189,english,Divorced,not immunized,6924314670,3,4,37692,english,medical examination,Lagos,SHAVON,Mr.,64,74,1
65,Ap #563-7565 Eu Rd.,pollen,A-,Ave Maria Hospital,urban,nigeria,10/14/1993,alzheimer's,AFSER,Male,Yes,No,149,english,Married,NA,7265272530,2,3,11240,english,consultation,Lagos,NERY,Mr.,65,74,1
66,Ap #600-9268 Aliquam St.,NA,O+,Badagry General Hospital,urban,nigeria,10/28/1985,arthritis,ANN-MARIE,Male,Yes,Yes,244,english,Divorced,not immunized,5375162496,2,1,42432,english,medical examination,Lagos,HERY,Mr.,66,89,1
67,Ap #592-270 Commodo St.,nuts,O+,Reddington Hospital,rural,nigeria,2/26/1994,none,GAZA,Male,No,No,201,english,Divorced,not immunized,4124975683,1,3,21454,english,medical examination,Lagos,SHAVONNE,Mr.,67,92,1
68,"Ap #998-3606 Placerat, Avenue",nuts,O-,St. Nicholas Hospital,suburban,nigeria,6/5/2012,amnesia,AFSHIN,Male,Yes,No,174,english,Married,NA,5511487256,2,4,26104,english,medical examination,Lagos,NESHA,Mr.,68,83,1
69,Ap #382-1771 Dictum Road,nuts,B+,Duchess International Hospital,urban,nigeria,12/24/2002,none,ANOOP,Male,Yes,Yes,188,english,Divorced,not immunized,4049534602,1,1,12258,english,consultation,Lagos,HESKY,Mr.,69,100,1
70,644-2340 Mauris Street,NA,A+,National Orthopaedic Hospital,urban,nigeria,4/14/1997,delirium,GAZMIR,Female,Yes,No,233,english,Divorced,NA,6381863093,3,4,12800,english,reserved consultation,Lagos,SHAWANDA,Ms.,70,66,1
71,Ap #833-7887 Pede. St.,NA,B+,First Consultant Hospital,rural,nigeria,4/16/1996,NA,AFZAL,Female,Yes,No,198,english,Married,mental issue,4443446048,2,4,41823,english,consultation,Lagos,NESRIN,Mrs.,71,71,1
72,997-4237 Ullamcorper. Rd.,dust,AB+,Ikorodu General Hospital,rural,nigeria,11/14/2010,cyclothimic disorder,ANOUCK,Female,No,Yes,183,english,Married,overwight,5299670048,3,2,48099,english,reserved consultation,Lagos,HEZEKIAH,Mrs.,72,73,1
73,Ap #819-8703 Egestas. St.,NA,B+,Isalu Hospitals,suburban,nigeria,9/30/2001,scoliosis,GE,Male,No,Yes,236,english,Divorced,NA,6214783157,2,2,9101,english,medical examination,Lagos,SHAWNA,Mr.,73,89,1
74,"Ap #117-3802 A, Av.",NA,B-,Ifako-Ijaiye General Hospital,rural,nigeria,5/20/2007,amnesia,AGAM,Male,No,Yes,242,english,Married,physical injury,4997761748,2,4,10195,english,medical examination,Lagos,NESSIE,Mr.,74,99,1
75,Ap #130-5959 Fusce St.,flowers,AB+,Reddington Hospital,urban,nigeria,10/17/1998,none,ANOWAR,Male,No,No,173,english,Single,mental issue,4987493284,1,1,8914,english,medical examination,Lagos,HIBA,Mr.,75,80,1
76,Ap #266-429 Velit St.,nuts,AB-,Lagoon Hospitals,suburban,nigeria,11/23/2007,none,GEANINE,Male,No,No,169,english,Divorced,none,3676815152,3,3,5223,english,consultation,Lagos,SHAWNDA,Mr.,76,68,1
77,315-4283 Nam Street,NA,B+,Mercy Stripes Specialist Hospital,suburban,nigeria,10/8/1992,alzheimer's,AGATHA,Female,Yes,No,212,english,Single,none,3798222651,0,0,30077,english,reserved consultation,Lagos,NET,Ms.,77,88,1
78,921-1491 Nonummy Ave,nuts,A+,Creek Hospital,suburban,nigeria,3/12/1995,ruptured discs,ANSAR,Female,No,Yes,199,english,Married,underweight,4424575157,2,1,40705,english,medical examination,Lagos,HIDALGO,Mrs.,78,85,1
79,Ap #299-4324 Mauris Avenue,flowers,A+,St. Nicholas Hospital,urban,nigeria,10/18/1987,alzheimer's,GEDDES,Female,No,Yes,189,english,Married,none,5717571596,1,2,18664,english,medical examination,Lagos,SHAWNEEN,Mrs.,79,62,1
80,"P.O. Box 913, 6976 Magnis Rd.",nuts,AB+,Ikorodu General Hospital,rural,nigeria,5/16/2008,fibromas,AGGREY,Male,Yes,Yes,136,english,Divorced,mental issue,7096799940,1,3,41512,english,consultation,Lagos,NETFA,Mr.,80,65,1
81,6676 Tristique Street,NA,A-,Isolo General Hospital,suburban,nigeria,11/4/1995,arthritis,ANSELM,Male,Yes,Yes,240,english,Single,mental issue,4512847280,0,0,36545,english,consultation,Lagos,HIDEOUT,Mr.,81,78,1
82,896-4316 Tempus Rd.,flowers,B+,Duchess International Hospital,rural,nigeria,4/13/1999,delirium,GEENA,Male,Yes,No,202,english,Married,not immunized,5619078389,1,4,36492,english,consultation,Lagos,SHAWNETTE,Mr.,82,78,1
83,967-2326 Orci Rd.,pollen,AB-,National Orthopaedic Hospital,urban,nigeria,2/6/2011,NA,AGNE,Female,Yes,Yes,223,english,Single,underweight,5906336522,1,0,16166,english,reserved consultation,Lagos,NEUMAN,Ms.,83,76,1
84,351-6015 Metus Rd.,nuts,A-,St. Nicholas Hospital,rural,nigeria,7/9/1987,arthritis,ANSHU,Female,No,Yes,260,english,Divorced,underweight,7253529389,1,4,13329,english,medical examination,Lagos,HIEU,Ms.,84,94,1
85,"Ap #635-6634 Pede, Av.",pollen,A+,Isalu Hospitals,suburban,nigeria,3/16/1983,NA,GEETHA,Female,No,No,217,english,Divorced,drug addiction,4464908727,4,2,19314,english,consultation,Lagos,SHAWNTA,Ms.,85,92,1
86,1677 Enim Rd.,flowers,B+,Maryiam Ville Medical Center,suburban,nigeria,8/21/1989,alzheimer's,AGNÃˆS,Female,Yes,No,165,english,Married,underweight,6798027443,1,1,25182,english,medical examination,Lagos,NEVA,Mrs.,86,62,1
87,"P.O. Box 935, 7661 Morbi Street",NA,O+,Krown Hospital,suburban,nigeria,3/19/1988,ruptured discs,ANSIL,Male,Yes,Yes,142,english,Married,overwight,7647913934,4,3,51779,english,reserved consultation,Lagos,HIJIRI,Mr.,87,85,1
88,569-7960 Integer Ave,pollen,AB+,Isolo General Hospital,suburban,nigeria,9/5/1983,alzheimer's,GEGE,Male,No,Yes,135,english,Divorced,none,7212209225,3,4,15917,english,medical examination,Lagos,SHAWNTE,Mr.,88,80,1
89,615-5113 Cum St.,dust,B+,National Orthopaedic Hospital,rural,nigeria,10/25/1984,atherosclerosis,AGRON,Female,No,Yes,139,english,Married,NA,5535881052,4,4,49415,english,consultation,Lagos,NEVENA,Mrs.,89,93,1
90,618-3434 Sagittis Av.,NA,B+,First Consultant Hospital,suburban,nigeria,5/26/2006,NA,ANSON,Male,Yes,Yes,233,english,Married,overwight,7251215278,1,1,46089,english,reserved consultation,Lagos,HIKMET,Mr.,90,61,1
91,405-9892 Ultrices Rd.,NA,B+,Creek Hospital,suburban,nigeria,9/21/1990,cyclothimic disorder,GELISA,Male,Yes,No,207,english,Married,NA,5901310111,3,3,41191,english,reserved consultation,Lagos,SHAWNTIA,Mr.,91,72,1
92,Ap #561-9293 Sociis St.,NA,AB-,Badagry General Hospital,rural,nigeria,1/10/2009,arthritis,AGUSTINA,Male,No,No,230,english,Divorced,overwight,3924922402,4,4,45830,english,consultation,Lagos,NEVILLE,Mr.,92,77,1
93,"Ap #381-3175 Sed, Street",NA,B-,National Orthopaedic Hospital,rural,nigeria,7/10/2012,delirium,ANTARES,Male,No,Yes,181,english,Divorced,mental issue,7134815597,2,1,5519,english,consultation,Lagos,HILARIE,Mr.,93,82,1
94,"Ap #230-5566 Amet, St.",NA,B+,Blue Cross Hospital,suburban,nigeria,11/22/2006,cyclothimic disorder,GEM,Female,No,No,234,english,Divorced,physical injury,7332039640,4,3,48635,english,medical examination,Lagos,SHAYA,Ms.,94,78,1
95,"P.O. Box 967, 4885 Nunc Avenue",dust,AB-,Duchess International Hospital,rural,nigeria,2/19/2010,delirium,AGYEI,Male,No,Yes,151,english,Single,NA,5593795296,0,1,9938,english,medical examination,Lagos,NEW,Mr.,95,86,1
96,Ap #266-429 Velit St.,nuts,B-,National Orthopaedic Hospital,suburban,nigeria,1/26/1993,alzheimer's,ANTE,Male,No,No,198,english,Married,NA,4735874042,3,3,13009,english,consultation,Lagos,HILDA,Mr.,96,61,1
97,315-4283 Nam Street,dust,O+,Lagoon Hospitals,suburban,nigeria,5/19/2008,alzheimer's,GEMMA,Male,Yes,No,260,english,Married,none,3332549314,2,3,38995,english,consultation,Lagos,SHAYLA,Mr.,97,60,1
98,921-1491 Nonummy Ave,NA,A+,Duchess International Hospital,suburban,nigeria,4/12/2000,alzheimer's,AHAD,Female,Yes,Yes,213,english,Single,NA,3625396642,0,1,22468,english,consultation,Lagos,NEWMONEY,Ms.,98,60,1
99,Ap #299-4324 Mauris Avenue,dust,O-,St. Nicholas Hospital,urban,nigeria,2/2/2008,amnesia,ANTHE,Female,No,No,157,english,Divorced,none,3917542692,2,2,6029,english,consultation,Lagos,HILDY,Ms.,99,78,1
100,"P.O. Box 913, 6976 Magnis Rd.",flowers,A-,Isolo General Hospital,suburban,nigeria,8/12/1993,ruptured discs,LEROY,Female,Yes,No,176,english,Divorced,drug addiction,7295258791,4,3,53500,english,medical examination,Lagos,SENEL,Ms.,100,91,1
101,6676 Tristique Street,pollen,AB-,Isalu Hospitals,rural,nigeria,3/2/1987,arthritis,SHASHWAT,Female,No,No,146,english,Married,NA,3795644054,2,1,52514,english,consultation,Lagos,ANNELISE,Mrs.,101,68,1
102,896-4316 Tempus Rd.,NA,AB+,Ifako-Ijaiye General Hospital,urban,nigeria,9/11/2002,delirium,NEKO,Male,No,Yes,190,english,Divorced,none,6485838427,3,3,43031,english,reserved consultation,Lagos,GATA,Mr.,102,60,1
103,967-2326 Orci Rd.,nuts,O-,Ifako-Ijaiye General Hospital,suburban,nigeria,2/15/2007,atherosclerosis,HENNY,Male,Yes,No,234,english,Divorced,NA,3540970440,4,1,30851,english,medical examination,Lagos,AEISHA,Mr.,103,89,1
104,351-6015 Metus Rd.,flowers,O-,Maryiam Ville Medical Center,rural,nigeria,3/29/2001,none,SHATARA,Male,No,No,175,english,Married,physical injury,4635568544,3,4,50448,english,reserved consultation,Lagos,ANNEMARIE,Mr.,104,75,1
105,"Ap #635-6634 Pede, Av.",dust,B-,National Orthopaedic Hospital,urban,nigeria,3/2/1997,none,NELANI,Male,Yes,No,195,english,Married,NA,6405955680,1,4,33879,english,consultation,Lagos,GATO,Mr.,105,60,1
106,1677 Enim Rd.,dust,O-,Isolo General Hospital,suburban,nigeria,12/30/1987,amnesia,HENRIETTA,Female,Yes,Yes,143,english,Divorced,physical injury,4817337592,1,1,10632,english,medical examination,Lagos,AESHA,Ms.,106,92,1
107,"P.O. Box 935, 7661 Morbi Street",flowers,A-,First Consultant Hospital,urban,nigeria,9/26/2005,NA,SHATEEK,Female,Yes,No,194,english,Divorced,physical injury,7196614826,4,3,39435,english,consultation,Lagos,ANNEMIEKE,Ms.,107,93,1
108,569-7960 Integer Ave,pollen,AB-,Adefemi Hospital,urban,nigeria,4/18/2000,fibromas,NELI,Male,No,No,171,english,Single,not immunized,3764762328,1,1,22919,english,consultation,Lagos,GAURAV,Mr.,108,77,1
109,615-5113 Cum St.,dust,AB-,Duchess International Hospital,urban,nigeria,11/7/2007,none,HENRIQUE,Male,No,No,229,english,Married,none,4890189709,2,4,12849,english,reserved consultation,Lagos,AFEISHA,Mr.,109,91,1
110,618-3434 Sagittis Av.,NA,O+,Duchess International Hospital,rural,nigeria,11/25/2004,delirium,SHATERA,Female,Yes,Yes,197,english,Single,not immunized,5160189380,0,1,10133,english,medical examination,Lagos,ANNE-SOPHIE,Ms.,110,84,1
